medal_type,medal_code,athlete_name,country_code,discipline_code,event
Gold Medal,1,KIM Je Deok,KOR,ARC,Mixed Team
Gold Medal,1,AN San,KOR,ARC,Mixed Team
Silver Medal,2,SCHLOESSER Gabriela,NED,ARC,Mixed Team
Silver Medal,2,WIJLER Steve,NED,ARC,Mixed Team
Bronze Medal,3,ALVAREZ Luis,MEX,ARC,Mixed Team
Bronze Medal,3,VALENCIA Alejandra,MEX,ARC,Mixed Team
Gold Medal,1,CARAPAZ Richard,ECU,CRD,Men's Road Race
Silver Medal,2,van AERT Wout,BEL,CRD,Men's Road Race
Bronze Medal,3,POGACAR Tadej,SLO,CRD,Men's Road Race
Gold Medal,1,SZILAGYI Aron,HUN,FEN,Men's Sabre Individual
Silver Medal,2,SAMELE Luigi,ITA,FEN,Men's Sabre Individual
Bronze Medal,3,KIM Junghwan,KOR,FEN,Men's Sabre Individual
Gold Medal,1,SUN Yiwen,CHN,FEN,Women's &Eacute;p&eacute;e Individual
Silver Medal,2,POPESCU Ana Maria,ROU,FEN,Women's &Eacute;p&eacute;e Individual
Bronze Medal,3,LEHIS Katrina,EST,FEN,Women's &Eacute;p&eacute;e Individual
Gold Medal,1,TAKATO Naohisa,JPN,JUD,Men -60 kg
Silver Medal,2,YANG Yung Wei,TPE,JUD,Men -60 kg
Bronze Medal,3,MKHEIDZE Luka,FRA,JUD,Men -60 kg
Bronze Medal,3,SMETOV Yeldos,KAZ,JUD,Men -60 kg
Gold Medal,1,KRASNIQI Distria,KOS,JUD,Women -48 kg
Silver Medal,2,TONAKI Funa,JPN,JUD,Women -48 kg
Bronze Medal,3,BILODID Daria,UKR,JUD,Women -48 kg
Bronze Medal,3,MUNKHBAT Urantsetseg,MGL,JUD,Women -48 kg
Gold Medal,1,FOROUGHI Javad,IRI,SHO,10m Air Pistol Men
Silver Medal,2,MIKEC Damir,SRB,SHO,10m Air Pistol Men
Bronze Medal,3,PANG Wei,CHN,SHO,10m Air Pistol Men
Gold Medal,1,YANG Qian,CHN,SHO,10m Air Rifle Women
Silver Medal,2,GALASHINA Anastasiia,ROC,SHO,10m Air Rifle Women
Bronze Medal,3,CHRISTEN Nina,SUI,SHO,10m Air Rifle Women
Gold Medal,1,DELL'AQUILA Vito,ITA,TKW,Men -58kg
Silver Medal,2,JENDOUBI Mohamed Khalil,TUN,TKW,Men -58kg
Bronze Medal,3,ARTAMONOV Mikhail,ROC,TKW,Men -58kg
Bronze Medal,3,JANG Jun,KOR,TKW,Men -58kg
Gold Medal,1,WONGPATTANAKIT Panipak,THA,TKW,Women -49kg
Silver Medal,2,CEREZO IGLESIAS Adriana,ESP,TKW,Women -49kg
Bronze Medal,3,BOGDANOVIC Tijana,SRB,TKW,Women -49kg
Bronze Medal,3,SEMBERG Abishag,ISR,TKW,Women -49kg
Gold Medal,1,HOU Zhihui,CHN,WLF,Women's 49kg
Silver Medal,2,MIRABAI Chanu Saikhom,IND,WLF,Women's 49kg
Bronze Medal,3,AISAH Windy Cantika,INA,WLF,Women's 49kg
Gold Medal,1,KANG Chaeyoung,KOR,ARC,Women's Team
Gold Medal,1,AN San,KOR,ARC,Women's Team
Gold Medal,1,JANG Minhee,KOR,ARC,Women's Team
Silver Medal,2,OSIPOVA Elena,ROC,ARC,Women's Team
Silver Medal,2,PEROVA Ksenia,ROC,ARC,Women's Team
Silver Medal,2,GOMBOEVA Svetlana,ROC,ARC,Women's Team
Bronze Medal,3,SCHWARZ Charline,GER,ARC,Women's Team
Bronze Medal,3,UNRUH Lisa,GER,ARC,Women's Team
Bronze Medal,3,KROPPEN Michelle,GER,ARC,Women's Team
Gold Medal,1,KIESENHOFER Anna,AUT,CRD,Women's Road Race
Silver Medal,2,van VLEUTEN Annemiek,NED,CRD,Women's Road Race
Bronze Medal,3,LONGO BORGHINI Elisa,ITA,CRD,Women's Road Race
Gold Medal,1,WANG Han,CHN,DIV,Women's Synchronised 3m Springboard
Gold Medal,1,SHI Tingmao,CHN,DIV,Women's Synchronised 3m Springboard
Silver Medal,2,ABEL Jennifer,CAN,DIV,Women's Synchronised 3m Springboard
Silver Medal,2,CITRINI BEAULIEU Melissa,CAN,DIV,Women's Synchronised 3m Springboard
Bronze Medal,3,HENTSCHEL Lena,GER,DIV,Women's Synchronised 3m Springboard
Bronze Medal,3,PUNZEL Tina,GER,DIV,Women's Synchronised 3m Springboard
Gold Medal,1,CANNONE Romain,FRA,FEN,Men's &Eacute;p&eacute;e Individual
Silver Medal,2,SIKLOSI Gergely,HUN,FEN,Men's &Eacute;p&eacute;e Individual
Bronze Medal,3,REIZLIN Igor,UKR,FEN,Men's &Eacute;p&eacute;e Individual
Gold Medal,1,KIEFER Lee,USA,FEN,Women's Foil Individual
Silver Medal,2,DERIGLAZOVA Inna,ROC,FEN,Women's Foil Individual
Bronze Medal,3,KOROBEYNIKOVA Larisa,ROC,FEN,Women's Foil Individual
Gold Medal,1,ABE Hifumi,JPN,JUD,Men -66 kg
Silver Medal,2,MARGVELASHVILI Vazha,GEO,JUD,Men -66 kg
Bronze Medal,3,AN Baul,KOR,JUD,Men -66 kg
Bronze Medal,3,CARGNIN Daniel,BRA,JUD,Men -66 kg
Gold Medal,1,ABE Uta,JPN,JUD,Women -52 kg
Silver Medal,2,BUCHARD Amandine,FRA,JUD,Women -52 kg
Bronze Medal,3,GILES Chelsie,GBR,JUD,Women -52 kg
Bronze Medal,3,GIUFFRIDA Odette,ITA,JUD,Women -52 kg
Gold Medal,1,BATSARASHKINA Vitalina,ROC,SHO,10m Air Pistol Women
Silver Medal,2,KOSTADINOVA Antoaneta,BUL,SHO,10m Air Pistol Women
Bronze Medal,3,JIANG Ranxin,CHN,SHO,10m Air Pistol Women
Gold Medal,1,SHANER William,USA,SHO,10m Air Rifle Men
Silver Medal,2,SHENG Lihao,CHN,SHO,10m Air Rifle Men
Bronze Medal,3,YANG Haoran,CHN,SHO,10m Air Rifle Men
Gold Medal,1,HORIGOME Yuto,JPN,SKB,Men's Street
Silver Medal,2,HOEFLER Kelvin,BRA,SKB,Men's Street
Bronze Medal,3,EATON Jagger,USA,SKB,Men's Street
Gold Medal,1,HAFNAOUI Ahmed,TUN,SWM,Men's 400m Freestyle
Silver Medal,2,McLOUGHLIN Jack,AUS,SWM,Men's 400m Freestyle
Bronze Medal,3,SMITH Kieran,USA,SWM,Men's 400m Freestyle
Gold Medal,1,KALISZ Chase,USA,SWM,Men's 400m Individual Medley
Silver Medal,2,LITHERLAND Jay,USA,SWM,Men's 400m Individual Medley
Bronze Medal,3,SMITH Brendon,AUS,SWM,Men's 400m Individual Medley
Gold Medal,1,CAMPBELL Cate,AUS,SWM,Women's 4 x 100m Freestyle Relay
Gold Medal,1,CAMPBELL Bronte,AUS,SWM,Women's 4 x 100m Freestyle Relay
Gold Medal,1,McKEON Emma,AUS,SWM,Women's 4 x 100m Freestyle Relay
Gold Medal,1,WILSON Madison,AUS,SWM,Women's 4 x 100m Freestyle Relay
Gold Medal,1,O'CALLAGHAN Mollie,AUS,SWM,Women's 4 x 100m Freestyle Relay
Gold Medal,1,HARRIS Meg,AUS,SWM,Women's 4 x 100m Freestyle Relay
Silver Medal,2,OLEKSIAK Penny,CAN,SWM,Women's 4 x 100m Freestyle Relay
Silver Medal,2,SMITH Rebecca,CAN,SWM,Women's 4 x 100m Freestyle Relay
Silver Medal,2,SANCHEZ Kayla,CAN,SWM,Women's 4 x 100m Freestyle Relay
Silver Medal,2,MACNEIL Margaret,CAN,SWM,Women's 4 x 100m Freestyle Relay
Silver Medal,2,RUCK Taylor,CAN,SWM,Women's 4 x 100m Freestyle Relay
Bronze Medal,3,BROWN Erika,USA,SWM,Women's 4 x 100m Freestyle Relay
Bronze Medal,3,WEITZEIL Abbey,USA,SWM,Women's 4 x 100m Freestyle Relay
Bronze Medal,3,de LOOF Catie,USA,SWM,Women's 4 x 100m Freestyle Relay
Bronze Medal,3,SCHMITT Allison,USA,SWM,Women's 4 x 100m Freestyle Relay
Bronze Medal,3,HINDS Natalie,USA,SWM,Women's 4 x 100m Freestyle Relay
Bronze Medal,3,SMOLIGA Olivia,USA,SWM,Women's 4 x 100m Freestyle Relay
Bronze Medal,3,MANUEL Simone,USA,SWM,Women's 4 x 100m Freestyle Relay
Gold Medal,1,OHASHI Yui,JPN,SWM,Women's 400m Individual Medley
Silver Medal,2,WEYANT Emma,USA,SWM,Women's 400m Individual Medley
Bronze Medal,3,FLICKINGER Hali,USA,SWM,Women's 400m Individual Medley
Gold Medal,1,RASHITOV Ulugbek,UZB,TKW,Men -68kg
Silver Medal,2,SINDEN Bradly,GBR,TKW,Men -68kg
Bronze Medal,3,RECBER Hakan,TUR,TKW,Men -68kg
Bronze Medal,3,ZHAO Shuai,CHN,TKW,Men -68kg
Gold Medal,1,ZOLOTIC Anastasija,USA,TKW,Women -57kg
Silver Medal,2,MININA Tatiana,ROC,TKW,Women -57kg
Bronze Medal,3,LO Chia-Ling,TPE,TKW,Women -57kg
Bronze Medal,3,ILGUN Hatice Kubra,TUR,TKW,Women -57kg
Gold Medal,1,LI Fabin,CHN,WLF,Men's 61kg
Silver Medal,2,IRAWAN Eko Yuli,INA,WLF,Men's 61kg
Bronze Medal,3,SON Igor,KAZ,WLF,Men's 61kg
Gold Medal,1,CHEN Lijun,CHN,WLF,Men's 67kg
Silver Medal,2,MOSQUERA LOZANO Luis Javier,COL,WLF,Men's 67kg
Bronze Medal,3,ZANNI Mirko,ITA,WLF,Men's 67kg
Gold Medal,1,KIM Je Deok,KOR,ARC,Men's Team
Gold Medal,1,OH Jinhyek,KOR,ARC,Men's Team
Gold Medal,1,KIM Woojin,KOR,ARC,Men's Team
Silver Medal,2,TANG Chih-Chun,TPE,ARC,Men's Team
Silver Medal,2,WEI Chun-Heng,TPE,ARC,Men's Team
Silver Medal,2,DENG Yu-Cheng,TPE,ARC,Men's Team
Bronze Medal,3,FURUKAWA Takaharu,JPN,ARC,Men's Team
Bronze Medal,3,KAWATA Yuki,JPN,ARC,Men's Team
Bronze Medal,3,MUTO Hiroki,JPN,ARC,Men's Team
Gold Medal,1,ABLIAZIN Denis,ROC,GAR,Men's Team
Gold Medal,1,BELYAVSKIY David,ROC,GAR,Men's Team
Gold Medal,1,DALALOYAN Artur,ROC,GAR,Men's Team
Gold Medal,1,NAGORNYY Nikita,ROC,GAR,Men's Team
Silver Medal,2,KAYA Kazuma,JPN,GAR,Men's Team
Silver Medal,2,TANIGAWA Wataru,JPN,GAR,Men's Team
Silver Medal,2,KITAZONO Takeru,JPN,GAR,Men's Team
Silver Medal,2,HASHIMOTO Daiki,JPN,GAR,Men's Team
Bronze Medal,3,LIN Chaopan,CHN,GAR,Men's Team
Bronze Medal,3,SUN Wei,CHN,GAR,Men's Team
Bronze Medal,3,XIAO Ruoteng,CHN,GAR,Men's Team
Bronze Medal,3,ZOU Jingyuan,CHN,GAR,Men's Team
Gold Medal,1,SAVSEK Benjamin,SLO,CSL,Men's Canoe
Silver Medal,2,ROHAN Lukas,CZE,CSL,Men's Canoe
Bronze Medal,3,TASIADIS Sideris,GER,CSL,Men's Canoe
Gold Medal,1,PIDCOCK Thomas,GBR,MTB,Men's Cross-country
Silver Medal,2,FLUECKIGER Mathias,SUI,MTB,Men's Cross-country
Bronze Medal,3,VALERO SERRANO David,ESP,MTB,Men's Cross-country
Gold Medal,1,DALEY Thomas,GBR,DIV,Men's Synchronised 10m Platform
Gold Medal,1,LEE Matty,GBR,DIV,Men's Synchronised 10m Platform
Silver Medal,2,CAO Yuan,CHN,DIV,Men's Synchronised 10m Platform
Silver Medal,2,CHEN Aisen,CHN,DIV,Men's Synchronised 10m Platform
Bronze Medal,3,BONDAR Aleksandr,ROC,DIV,Men's Synchronised 10m Platform
Bronze Medal,3,MINIBAEV Viktor,ROC,DIV,Men's Synchronised 10m Platform
Gold Medal,1,CHEUNG Ka Long,HKG,FEN,Men's Foil Individual
Silver Medal,2,GAROZZO Daniele,ITA,FEN,Men's Foil Individual
Bronze Medal,3,CHOUPENITCH Alexander,CZE,FEN,Men's Foil Individual
Gold Medal,1,POZDNIAKOVA Sofia,ROC,FEN,Women's Sabre Individual
Silver Medal,2,VELIKAYA Sofya,ROC,FEN,Women's Sabre Individual
Bronze Medal,3,BRUNET Manon,FRA,FEN,Women's Sabre Individual
Gold Medal,1,ONO Shohei,JPN,JUD,Men -73 kg
Silver Medal,2,SHAVDATUASHVILI Lasha,GEO,JUD,Men -73 kg
Bronze Medal,3,AN Changrim,KOR,JUD,Men -73 kg
Bronze Medal,3,TSEND-OCHIR Tsogtbaatar,MGL,JUD,Men -73 kg
Gold Medal,1,GJAKOVA Nora,KOS,JUD,Women -57 kg
Silver Medal,2,CYSIQUE Sarah Leonie,FRA,JUD,Women -57 kg
Bronze Medal,3,KLIMKAIT Jessica,CAN,JUD,Women -57 kg
Bronze Medal,3,YOSHIDA Tsukasa,JPN,JUD,Women -57 kg
Gold Medal,1,HANCOCK Vincent,USA,SHO,Skeet Men
Silver Medal,2,HANSEN Jesper,DEN,SHO,Skeet Men
Bronze Medal,3,ALRASHIDI Abdullah,KUW,SHO,Skeet Men
Gold Medal,1,ENGLISH Amber,USA,SHO,Skeet Women
Silver Medal,2,BACOSI Diana,ITA,SHO,Skeet Women
Bronze Medal,3,WEI Meng,CHN,SHO,Skeet Women
Gold Medal,1,NISHIYA Momiji,JPN,SKB,Women's Street
Silver Medal,2,LEAL Rayssa,BRA,SKB,Women's Street
Bronze Medal,3,NAKAYAMA Funa,JPN,SKB,Women's Street
Gold Medal,1,PEATY Adam,GBR,SWM,Men's 100m Breaststroke
Silver Medal,2,KAMMINGA Arno,NED,SWM,Men's 100m Breaststroke
Bronze Medal,3,MARTINENGHI Nicolo,ITA,SWM,Men's 100m Breaststroke
Gold Medal,1,CURRY Brooks,USA,SWM,Men's 4 x 100m Freestyle Relay
Gold Medal,1,DRESSEL Caeleb,USA,SWM,Men's 4 x 100m Freestyle Relay
Gold Medal,1,BECKER Bowen,USA,SWM,Men's 4 x 100m Freestyle Relay
Gold Medal,1,PIERONI Blake,USA,SWM,Men's 4 x 100m Freestyle Relay
Gold Medal,1,APPLE Zach,USA,SWM,Men's 4 x 100m Freestyle Relay
Silver Medal,2,CECCON Thomas,ITA,SWM,Men's 4 x 100m Freestyle Relay
Silver Medal,2,FRIGO Manuel,ITA,SWM,Men's 4 x 100m Freestyle Relay
Silver Medal,2,ZAZZERI Lorenzo,ITA,SWM,Men's 4 x 100m Freestyle Relay
Silver Medal,2,CONDORELLI Santo,ITA,SWM,Men's 4 x 100m Freestyle Relay
Silver Medal,2,MIRESSI Alessandro,ITA,SWM,Men's 4 x 100m Freestyle Relay
Bronze Medal,3,CHALMERS Kyle,AUS,SWM,Men's 4 x 100m Freestyle Relay
Bronze Medal,3,GRAHAM Alexander,AUS,SWM,Men's 4 x 100m Freestyle Relay
Bronze Medal,3,INCERTI Zac,AUS,SWM,Men's 4 x 100m Freestyle Relay
Bronze Medal,3,McEVOY Cameron,AUS,SWM,Men's 4 x 100m Freestyle Relay
Bronze Medal,3,TEMPLE Matthew,AUS,SWM,Men's 4 x 100m Freestyle Relay
Gold Medal,1,MACNEIL Margaret,CAN,SWM,Women's 100m Butterfly
Silver Medal,2,ZHANG Yufei,CHN,SWM,Women's 100m Butterfly
Bronze Medal,3,McKEON Emma,AUS,SWM,Women's 100m Butterfly
Gold Medal,1,TITMUS Ariarne,AUS,SWM,Women's 400m Freestyle
Silver Medal,2,LEDECKY Kathleen,USA,SWM,Women's 400m Freestyle
Bronze Medal,3,LI Bingjie,CHN,SWM,Women's 400m Freestyle
Gold Medal,1,MIZUTANI Jun,JPN,TTE,Mixed Doubles
Gold Medal,1,ITO Mima,JPN,TTE,Mixed Doubles
Silver Medal,2,XU Xin,CHN,TTE,Mixed Doubles
Silver Medal,2,LIU Shiwen,CHN,TTE,Mixed Doubles
Bronze Medal,3,LIN Yun Ju,TPE,TTE,Mixed Doubles
Bronze Medal,3,CHENG I Ching,TPE,TTE,Mixed Doubles
Gold Medal,1,KHRAMTCOV Maksim,ROC,TKW,Men -80kg
Silver Medal,2,ELSHARABATY Saleh,JOR,TKW,Men -80kg
Bronze Medal,3,KANAET Toni,CRO,TKW,Men -80kg
Bronze Medal,3,EISSA Seif,EGY,TKW,Men -80kg
Gold Medal,1,JELIC Matea,CRO,TKW,Women -67kg
Silver Medal,2,WILLIAMS Lauren,GBR,TKW,Women -67kg
Bronze Medal,3,GBAGBI Ruth,CIV,TKW,Women -67kg
Bronze Medal,3,MALAK Hedaya,EGY,TKW,Women -67kg
Gold Medal,1,BLUMMENFELT Kristian,NOR,TRI,Men's Individual
Silver Medal,2,YEE Alex,GBR,TRI,Men's Individual
Bronze Medal,3,WILDE Hayden,NZL,TRI,Men's Individual
Gold Medal,1,DIAZ Hidilyn,PHI,WLF,Women's 55kg
Silver Medal,2,LIAO Qiuyun,CHN,WLF,Women's 55kg
Bronze Medal,3,CHINSHANLO Zulfiya,KAZ,WLF,Women's 55kg
Gold Medal,1,AKHAIMOVA Liliia,ROC,GAR,Women's Team
Gold Medal,1,MELNIKOVA Angelina,ROC,GAR,Women's Team
Gold Medal,1,URAZOVA Vladislava,ROC,GAR,Women's Team
Gold Medal,1,LISTUNOVA Viktoriia,ROC,GAR,Women's Team
Silver Medal,2,Mc CALLUM Grace,USA,GAR,Women's Team
Silver Medal,2,LEE Sunisa,USA,GAR,Women's Team
Silver Medal,2,CHILES Jordan,USA,GAR,Women's Team
Silver Medal,2,BILES Simone,USA,GAR,Women's Team
Bronze Medal,3,GADIROVA Jennifer,GBR,GAR,Women's Team
Bronze Medal,3,GADIROVA Jessica,GBR,GAR,Women's Team
Bronze Medal,3,KINSELLA Alice,GBR,GAR,Women's Team
Bronze Medal,3,MORGAN Amelie,GBR,GAR,Women's Team
Gold Medal,1,UENO Yukiko,JPN,BSB,Softball
Gold Medal,1,GOTO Miu,JPN,BSB,Softball
Gold Medal,1,FUJITA Yamato,JPN,BSB,Softball
Gold Medal,1,AGATSUMA Haruka,JPN,BSB,Softball
Gold Medal,1,KIYOHARA Nayu,JPN,BSB,Softball
Gold Medal,1,ATSUMI Mana,JPN,BSB,Softball
Gold Medal,1,ICHIGUCHI Yuka,JPN,BSB,Softball
Gold Medal,1,KAWABATA Hitomi,JPN,BSB,Softball
Gold Medal,1,NAITO Minori,JPN,BSB,Softball
Gold Medal,1,YAMAMOTO Yu,JPN,BSB,Softball
Gold Medal,1,HARADA Nodoka,JPN,BSB,Softball
Gold Medal,1,MORI Sayaka,JPN,BSB,Softball
Gold Medal,1,YAMAZAKI Saki,JPN,BSB,Softball
Gold Medal,1,YAMADA Eri,JPN,BSB,Softball
Gold Medal,1,MINE Yukiyo,JPN,BSB,Softball
Silver Medal,2,AGUILAR Ali,USA,BSB,Softball
Silver Medal,2,CARDA Ally,USA,BSB,Softball
Silver Medal,2,CHIDESTER Amanda,USA,BSB,Softball
Silver Medal,2,MUNRO Aubree,USA,BSB,Softball
Silver Medal,2,MULIPOLA Dejah,USA,BSB,Softball
Silver Medal,2,SPAULDING Delaney,USA,BSB,Softball
Silver Medal,2,Mc CLENEY Haylie,USA,BSB,Softball
Silver Medal,2,REED Janie,USA,BSB,Softball
Silver Medal,2,MOULTRIE Michelle,USA,BSB,Softball
Silver Medal,2,NICKLES Bubba,USA,BSB,Softball
Silver Medal,2,GARCIA Rachel,USA,BSB,Softball
Silver Medal,2,ARIOTO Valerie,USA,BSB,Softball
Silver Medal,2,OSTERMAN Cat,USA,BSB,Softball
Silver Medal,2,STEWART Kelsey,USA,BSB,Softball
Silver Medal,2,ABBOTT Monica,USA,BSB,Softball
Bronze Medal,3,CAIRA Jenna,CAN,BSB,Softball
Bronze Medal,3,ENTZMINGER Emma,CAN,BSB,Softball
Bronze Medal,3,FRANKLIN Larissa,CAN,BSB,Softball
Bronze Medal,3,GILBERT Jen,CAN,BSB,Softball
Bronze Medal,3,GROENEWEGEN Sara,CAN,BSB,Softball
Bronze Medal,3,HAYWARD Victoria,CAN,BSB,Softball
Bronze Medal,3,HARSHMAN Kelsey,CAN,BSB,Softball
Bronze Medal,3,LAWRIE Danielle,CAN,BSB,Softball
Bronze Medal,3,LEUNG Janet,CAN,BSB,Softball
Bronze Medal,3,LYE Joey,CAN,BSB,Softball
Bronze Medal,3,POLIDORI Erika,CAN,BSB,Softball
Bronze Medal,3,RAFTER Kaleigh,CAN,BSB,Softball
Bronze Medal,3,REGULA Lauren,CAN,BSB,Softball
Bronze Medal,3,SALLING Jenn,CAN,BSB,Softball
Bronze Medal,3,WIDEMAN Natalie,CAN,BSB,Softball
Gold Medal,1,FUNK Ricarda,GER,CSL,Women's Kayak
Silver Medal,2,CHOURRAUT Maialen,ESP,CSL,Women's Kayak
Bronze Medal,3,FOX Jessica,AUS,CSL,Women's Kayak
Gold Medal,1,NEFF Jolanda,SUI,MTB,Women's Cross-country
Silver Medal,2,FREI Sina,SUI,MTB,Women's Cross-country
Bronze Medal,3,INDERGAND Linda,SUI,MTB,Women's Cross-country
Gold Medal,1,CHEN Yuxi,CHN,DIV,Women's Synchronised 10m Platform
Gold Medal,1,ZHANG Jiaqi,CHN,DIV,Women's Synchronised 10m Platform
Silver Medal,2,SCHNELL Delaney,USA,DIV,Women's Synchronised 10m Platform
Silver Medal,2,PARRATTO Jessica,USA,DIV,Women's Synchronised 10m Platform
Bronze Medal,3,AGUNDEZ GARCIA Gabriela,MEX,DIV,Women's Synchronised 10m Platform
Bronze Medal,3,OROZCO LOZA Alejandra,MEX,DIV,Women's Synchronised 10m Platform
Gold Medal,1,WERTH Isabell,GER,EQU,Dressage Team
Gold Medal,1,von BREDOW-WERNDL Jessica,GER,EQU,Dressage Team
Gold Medal,1,SCHNEIDER Dorothee,GER,EQU,Dressage Team
Silver Medal,2,LYLE Adrienne,USA,EQU,Dressage Team
Silver Medal,2,SCHUT-KERY Sabine,USA,EQU,Dressage Team
Silver Medal,2,PETERS Steffen,USA,EQU,Dressage Team
Bronze Medal,3,DUJARDIN Charlotte,GBR,EQU,Dressage Team
Bronze Medal,3,FRY Charlotte,GBR,EQU,Dressage Team
Bronze Medal,3,HESTER Carl,GBR,EQU,Dressage Team
Gold Medal,1,BELJAJEVA Julia,EST,FEN,Women's &Eacute;p&eacute;e Team
Gold Medal,1,LEHIS Katrina,EST,FEN,Women's &Eacute;p&eacute;e Team
Gold Medal,1,KIRPU Erika,EST,FEN,Women's &Eacute;p&eacute;e Team
Gold Medal,1,EMBRICH Irina,EST,FEN,Women's &Eacute;p&eacute;e Team
Silver Medal,2,CHOI Injeong,KOR,FEN,Women's &Eacute;p&eacute;e Team
Silver Medal,2,LEE Hyein,KOR,FEN,Women's &Eacute;p&eacute;e Team
Silver Medal,2,KANG Young Mi,KOR,FEN,Women's &Eacute;p&eacute;e Team
Silver Medal,2,SONG Sera,KOR,FEN,Women's &Eacute;p&eacute;e Team
Bronze Medal,3,SANTUCCIO Alberta,ITA,FEN,Women's &Eacute;p&eacute;e Team
Bronze Medal,3,ISOLA Federica,ITA,FEN,Women's &Eacute;p&eacute;e Team
Bronze Medal,3,FIAMINGO Rossella,ITA,FEN,Women's &Eacute;p&eacute;e Team
Bronze Medal,3,NAVARRIA Mara,ITA,FEN,Women's &Eacute;p&eacute;e Team
Gold Medal,1,NAGASE Takanori,JPN,JUD,Men -81 kg
Silver Medal,2,MOLLAEI Saeid,MGL,JUD,Men -81 kg
Bronze Medal,3,BORCHASHVILI Shamil,AUT,JUD,Men -81 kg
Bronze Medal,3,CASSE Matthias,BEL,JUD,Men -81 kg
Gold Medal,1,AGBEGNENOU Clarisse,FRA,JUD,Women -63 kg
Silver Medal,2,TRSTENJAK Tina,SLO,JUD,Women -63 kg
Bronze Medal,3,BEAUCHEMIN-PINARD Catherine,CAN,JUD,Women -63 kg
Bronze Medal,3,CENTRACCHIO Maria,ITA,JUD,Women -63 kg
Gold Medal,1,JIANG Ranxin,CHN,SHO,10m Air Pistol Mixed Team
Gold Medal,1,PANG Wei,CHN,SHO,10m Air Pistol Mixed Team
Silver Medal,2,BATSARASHKINA Vitalina,ROC,SHO,10m Air Pistol Mixed Team
Silver Medal,2,CHERNOUSOV Artem,ROC,SHO,10m Air Pistol Mixed Team
Bronze Medal,3,KOSTEVYCH Olena,UKR,SHO,10m Air Pistol Mixed Team
Bronze Medal,3,OMELCHUK Oleh,UKR,SHO,10m Air Pistol Mixed Team
Gold Medal,1,YANG Qian,CHN,SHO,10m Air Rifle Mixed Team
Gold Medal,1,YANG Haoran,CHN,SHO,10m Air Rifle Mixed Team
Silver Medal,2,KOZENIESKY Lucas,USA,SHO,10m Air Rifle Mixed Team
Silver Medal,2,TUCKER Mary Carolynn,USA,SHO,10m Air Rifle Mixed Team
Bronze Medal,3,KARIMOVA Yulia,ROC,SHO,10m Air Rifle Mixed Team
Bronze Medal,3,KAMENSKIY Sergey,ROC,SHO,10m Air Rifle Mixed Team
Gold Medal,1,FERREIRA Italo,BRA,SRF,Men
Silver Medal,2,IGARASHI Kanoa,JPN,SRF,Men
Bronze Medal,3,WRIGHT Owen,AUS,SRF,Men
Gold Medal,1,MOORE Carissa,USA,SRF,Women
Silver Medal,2,BUITENDAG Bianca,RSA,SRF,Women
Bronze Medal,3,TSUZUKI Amuro,JPN,SRF,Women
Gold Medal,1,RYLOV Evgeny,ROC,SWM,Men's 100m Backstroke
Silver Medal,2,KOLESNIKOV Kliment,ROC,SWM,Men's 100m Backstroke
Bronze Medal,3,MURPHY Ryan,USA,SWM,Men's 100m Backstroke
Gold Medal,1,DEAN Tom,GBR,SWM,Men's 200m Freestyle
Silver Medal,2,SCOTT Duncan,GBR,SWM,Men's 200m Freestyle
Bronze Medal,3,SCHEFFER Fernando,BRA,SWM,Men's 200m Freestyle
Gold Medal,1,McKEOWN Kaylee,AUS,SWM,Women's 100m Backstroke
Silver Medal,2,MASSE Kylie,CAN,SWM,Women's 100m Backstroke
Bronze Medal,3,SMITH Regan,USA,SWM,Women's 100m Backstroke
Gold Medal,1,JACOBY Lydia,USA,SWM,Women's 100m Breaststroke
Silver Medal,2,SCHOENMAKER Tatjana,RSA,SWM,Women's 100m Breaststroke
Bronze Medal,3,KING Lilly,USA,SWM,Women's 100m Breaststroke
Gold Medal,1,LARIN Vladislav,ROC,TKW,Men +80kg
Silver Medal,2,GEORGIEVSKI Dejan,MKD,TKW,Men +80kg
Bronze Medal,3,IN Kyo Don,KOR,TKW,Men +80kg
Bronze Medal,3,ALBA CASTILLO Rafael Yunier,CUB,TKW,Men +80kg
Gold Medal,1,MANDIC Milica,SRB,TKW,Women +67kg
Silver Medal,2,LEE Dabin,KOR,TKW,Women +67kg
Bronze Medal,3,LAURIN Althea,FRA,TKW,Women +67kg
Bronze Medal,3,WALKDEN Bianca,GBR,TKW,Women +67kg
Gold Medal,1,DUFFY Flora,BER,TRI,Women's Individual
Silver Medal,2,TAYLOR-BROWN Georgia,GBR,TRI,Women's Individual
Bronze Medal,3,ZAFERES Katie,USA,TRI,Women's Individual
Gold Medal,1,KUO Hsing-Chun,TPE,WLF,Women's 59kg
Silver Medal,2,GURYEVA Polina,TKM,WLF,Women's 59kg
Bronze Medal,3,ANDOH Mikiko,JPN,WLF,Women's 59kg
Gold Medal,1,CHARRON Maude G,CAN,WLF,Women's 64kg
Silver Medal,2,BORDIGNON Giorgia,ITA,WLF,Women's 64kg
Bronze Medal,3,CHEN Wen-Huei,TPE,WLF,Women's 64kg
Gold Medal,1,MIEZIS Nauris,LAT,BK3,Men
Gold Medal,1,LASMANIS Karlis,LAT,BK3,Men
Gold Medal,1,CAVARS Agnis,LAT,BK3,Men
Gold Medal,1,KRUMINS Edgars,LAT,BK3,Men
